From_NL,From_UTC,E_Volume_kWh,Tenant,E_Volume_MWh,Abs_E_Volume_kWh,Abs_E_Volume_MWh
02/12/2023 07:30,02/12/2023 06:30,1010,1,1.01,1010,1.01
02/12/2023 07:30,02/12/2023 06:30,47915,0,47.915,47915,47.915
02/12/2023 07:45,02/12/2023 06:45,47847,0,47.847,47847,47.847
02/12/2023 07:45,02/12/2023 06:45,1078,1,1.078,1078,1.078
02/12/2023 08:00,02/12/2023 07:00,1134,1,1.134,1134,1.134
02/12/2023 08:00,02/12/2023 07:00,52291,0,52.291,52291,52.291
02/12/2023 08:15,02/12/2023 07:15,52247,0,52.247,52247,52.247
02/12/2023 08:15,02/12/2023 07:15,1178,1,1.178,1178,1.178
02/12/2023 08:30,02/12/2023 07:30,52183,0,52.183,52183,52.183
02/12/2023 08:30,02/12/2023 07:30,1242,1,1.242,1242,1.242
02/12/2023 08:45,02/12/2023 07:45,52163,0,52.163,52163,52.163
02/12/2023 08:45,02/12/2023 07:45,1262,1,1.262,1262,1.262
02/12/2023 09:00,02/12/2023 08:00,46594,0,46.594,46594,46.594
02/12/2023 09:00,02/12/2023 08:00,1256,1,1.256,1256,1.256
02/12/2023 09:15,02/12/2023 08:15,46614,0,46.614,46614,46.614
02/12/2023 09:15,02/12/2023 08:15,1236,1,1.236,1236,1.236
02/12/2023 09:30,02/12/2023 08:30,46613,0,46.613,46613,46.613
02/12/2023 09:30,02/12/2023 08:30,1237,1,1.237,1237,1.237
02/12/2023 09:45,02/12/2023 08:45,1188,1,1.188,1188,1.188
02/12/2023 09:45,02/12/2023 08:45,46662,0,46.662,46662,46.662
02/12/2023 10:00,02/12/2023 09:00,37936,0,37.936,37936,37.936
02/12/2023 10:00,02/12/2023 09:00,1139,1,1.139,1139,1.139
02/12/2023 10:15,02/12/2023 09:15,1132,1,1.132,1132,1.132
02/12/2023 10:15,02/12/2023 09:15,37943,0,37.943,37943,37.943
02/12/2023 10:30,02/12/2023 09:30,1093,1,1.093,1093,1.093
02/12/2023 10:30,02/12/2023 09:30,37982,0,37.982,37982,37.982
02/12/2023 10:45,02/12/2023 09:45,1046,1,1.046,1046,1.046
02/12/2023 10:45,02/12/2023 09:45,38029,0,38.029,38029,38.029
02/12/2023 11:00,02/12/2023 10:00,1049,1,1.049,1049,1.049
02/12/2023 11:00,02/12/2023 10:00,31126,0,31.126,31126,31.126
02/12/2023 11:15,02/12/2023 10:15,31162,0,31.162,31162,31.162
02/12/2023 11:15,02/12/2023 10:15,1013,1,1.013,1013,1.013
02/12/2023 11:30,02/12/2023 10:30,960,1,0.96,960,0.96
02/12/2023 11:30,02/12/2023 10:30,31215,0,31.215,31215,31.215
02/12/2023 11:45,02/12/2023 10:45,31213,0,31.213,31213,31.213
02/12/2023 11:45,02/12/2023 10:45,962,1,0.962,962,0.962
02/12/2023 12:00,02/12/2023 11:00,1002,1,1.002,1002,1.002
02/12/2023 12:00,02/12/2023 11:00,26548,0,26.548,26548,26.548
02/12/2023 12:15,02/12/2023 11:15,1022,1,1.022,1022,1.022
02/12/2023 12:15,02/12/2023 11:15,26528,0,26.528,26528,26.528
02/12/2023 12:30,02/12/2023 11:30,1023,1,1.023,1023,1.023
02/12/2023 12:30,02/12/2023 11:30,26527,0,26.527,26527,26.527
02/12/2023 12:45,02/12/2023 11:45,970,1,0.97,970,0.97
02/12/2023 12:45,02/12/2023 11:45,26580,0,26.58,26580,26.58
02/12/2023 13:00,02/12/2023 12:00,30846,0,30.846,30846,30.846
02/12/2023 13:00,02/12/2023 12:00,979,1,0.979,979,0.979
02/12/2023 13:15,02/12/2023 12:15,1019,1,1.019,1019,1.019
02/12/2023 13:15,02/12/2023 12:15,30806,0,30.806,30806,30.806
02/12/2023 13:30,02/12/2023 12:30,30808,0,30.808,30808,30.808
02/12/2023 13:30,02/12/2023 12:30,1017,1,1.017,1017,1.017
02/12/2023 13:45,02/12/2023 12:45,1070,1,1.07,1070,1.07
02/12/2023 13:45,02/12/2023 12:45,30755,0,30.755,30755,30.755
02/12/2023 14:00,02/12/2023 13:00,1097,1,1.097,1097,1.097
02/12/2023 14:00,02/12/2023 13:00,39653,0,39.653,39653,39.653
02/12/2023 14:15,02/12/2023 13:15,1119,1,1.119,1119,1.119
02/12/2023 14:15,02/12/2023 13:15,39631,0,39.631,39631,39.631
02/12/2023 14:30,02/12/2023 13:30,1178,1,1.178,1178,1.178
02/12/2023 14:30,02/12/2023 13:30,39572,0,39.572,39572,39.572
02/12/2023 14:45,02/12/2023 13:45,39509,0,39.509,39509,39.509
02/12/2023 14:45,02/12/2023 13:45,1241,1,1.241,1241,1.241
02/12/2023 15:00,02/12/2023 14:00,1265,1,1.265,1265,1.265
02/12/2023 15:00,02/12/2023 14:00,51310,0,51.31,51310,51.31
02/12/2023 15:15,02/12/2023 14:15,51266,0,51.266,51266,51.266
02/12/2023 15:15,02/12/2023 14:15,1309,1,1.309,1309,1.309
02/12/2023 15:30,02/12/2023 14:30,1382,1,1.382,1382,1.382
02/12/2023 15:30,02/12/2023 14:30,51193,0,51.193,51193,51.193
02/12/2023 15:45,02/12/2023 14:45,1418,1,1.418,1418,1.418
02/12/2023 15:45,02/12/2023 14:45,51157,0,51.157,51157,51.157
02/12/2023 16:00,02/12/2023 15:00,1441,1,1.441,1441,1.441
02/12/2023 16:00,02/12/2023 15:00,60259,0,60.259,60259,60.259
02/12/2023 16:15,02/12/2023 15:15,1495,1,1.495,1495,1.495
02/12/2023 16:15,02/12/2023 15:15,60205,0,60.205,60205,60.205
02/12/2023 16:30,02/12/2023 15:30,60127,0,60.127,60127,60.127
02/12/2023 16:30,02/12/2023 15:30,1573,1,1.573,1573,1.573
02/12/2023 16:45,02/12/2023 15:45,1643,1,1.643,1643,1.643
02/12/2023 16:45,02/12/2023 15:45,60057,0,60.057,60057,60.057
02/12/2023 17:00,02/12/2023 16:00,60473,0,60.473,60473,60.473
02/12/2023 17:00,02/12/2023 16:00,1727,1,1.727,1727,1.727
02/12/2023 17:15,02/12/2023 16:15,1818,1,1.818,1818,1.818
02/12/2023 17:15,02/12/2023 16:15,60382,0,60.382,60382,60.382
02/12/2023 17:30,02/12/2023 16:30,1872,1,1.872,1872,1.872
02/12/2023 17:30,02/12/2023 16:30,60328,0,60.328,60328,60.328
02/12/2023 17:45,02/12/2023 16:45,1902,1,1.902,1902,1.902
02/12/2023 17:45,02/12/2023 16:45,60298,0,60.298,60298,60.298
02/12/2023 18:00,02/12/2023 17:00,1882,1,1.882,1882,1.882
02/12/2023 18:00,02/12/2023 17:00,57493,0,57.493,57493,57.493
02/12/2023 18:15,02/12/2023 17:15,57476,0,57.476,57476,57.476
02/12/2023 18:15,02/12/2023 17:15,1899,1,1.899,1899,1.899
02/12/2023 18:30,02/12/2023 17:30,1840,1,1.84,1840,1.84
02/12/2023 18:30,02/12/2023 17:30,57535,0,57.535,57535,57.535
02/12/2023 18:45,02/12/2023 17:45,57591,0,57.591,57591,57.591
02/12/2023 18:45,02/12/2023 17:45,1784,1,1.784,1784,1.784
02/12/2023 19:00,02/12/2023 18:00,1754,1,1.754,1754,1.754
02/12/2023 19:00,02/12/2023 18:00,55021,0,55.021,55021,55.021
02/12/2023 19:15,02/12/2023 18:15,1735,1,1.735,1735,1.735
02/12/2023 19:15,02/12/2023 18:15,55040,0,55.04,55040,55.04
02/12/2023 19:30,02/12/2023 18:30,1703,1,1.703,1703,1.703
02/12/2023 19:30,02/12/2023 18:30,55072,0,55.072,55072,55.072
02/12/2023 19:45,02/12/2023 18:45,1654,1,1.654,1654,1.654
02/12/2023 19:45,02/12/2023 18:45,55121,0,55.121,55121,55.121
02/12/2023 20:00,02/12/2023 19:00,51672,0,51.672,51672,51.672
02/12/2023 20:00,02/12/2023 19:00,1603,1,1.603,1603,1.603
02/12/2023 20:15,02/12/2023 19:15,1593,1,1.593,1593,1.593
02/12/2023 20:15,02/12/2023 19:15,51682,0,51.682,51682,51.682
02/12/2023 20:30,02/12/2023 19:30,51718,0,51.718,51718,51.718
02/12/2023 20:30,02/12/2023 19:30,1557,1,1.557,1557,1.557
02/12/2023 20:45,02/12/2023 19:45,1536,1,1.536,1536,1.536
02/12/2023 20:45,02/12/2023 19:45,51739,0,51.739,51739,51.739
02/12/2023 21:00,02/12/2023 20:00,1511,1,1.511,1511,1.511
02/12/2023 21:00,02/12/2023 20:00,48539,0,48.539,48539,48.539
